frame,video_time_s,object,source,confidence,distance_m,distance_method,closing_speed_mps,ttc_s,lane_overlap,x1,y1,x2,y2,in_lane,risk,action,decision_source,rule_id,rule_priority,competing_rules,decision_trace,explanation,incident_image,track_key
42,1.68,pothole,best.pt,0.302,3.47,width_fallback,3.25,1.068,0.0,846,348,1011,416,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
43,1.72,pothole,best.pt,0.4518,3.48,width_fallback,2.375,1.247,0.0,855,346,1016,416,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
44,1.76,pothole,best.pt,0.4543,3.56,width_fallback,1.5,1.754,0.0,863,355,1019,422,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
45,1.8,pothole,best.pt,0.3671,3.58,width_fallback,1.167,2.345,0.0,871,359,1027,429,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
46,1.84,pothole,best.pt,0.3489,3.33,width_fallback,1.893,2.082,0.0,868,358,1041,435,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
47,1.88,pothole,best.pt,0.3152,3.13,width_fallback,2.281,1.762,0.0,861,359,1044,448,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
48,1.92,pothole,best.pt,0.3968,3.17,width_fallback,1.656,1.831,0.0,886,375,1062,447,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
49,1.96,pothole,best.pt,0.3081,3.22,width_fallback,0.893,2.63,0.0,890,381,1063,452,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
50,2.0,pothole,best.pt,0.5092,3.03,width_fallback,1.607,2.295,0.0,883,378,1072,461,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
51,2.04,pothole,best.pt,0.4102,3.09,width_fallback,1.679,2.09,0.0,902,382,1082,469,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
52,2.08,pothole,best.pt,0.4793,2.77,width_fallback,2.893,1.581,0.0,907,395,1117,475,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
54,2.16,pothole,best.pt,0.3294,2.93,width_fallback,1.25,1.924,0.0,929,402,1117,491,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
55,2.2,pothole,best.pt,0.3897,2.75,width_fallback,1.187,2.1,0.0,929,412,1137,515,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
56,2.24,pothole,best.pt,0.3086,2.65,width_fallback,1.625,1.889,0.0,947,419,1161,517,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
57,2.28,pothole,best.pt,0.3561,2.54,width_fallback,2.125,1.577,0.0,950,421,1174,526,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
59,2.36,pothole,best.pt,0.3446,2.28,width_fallback,2.083,1.36,0.0,962,439,1216,563,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g20:8
63,2.52,pothole,best.pt,0.329,1.99,width_fallback,0.0,,0.017,986,484,1275,623,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g25:12
65,2.6,pothole,best.pt,0.3525,2.43,width_fallback,0.0,,0.0,1052,526,1269,604,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g25:12
71,2.84,pothole,best.pt,0.4383,4.11,width_fallback,0.0,,0.294,698,356,836,420,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f71_WARNING_pothole.jpg,road_video_3.mp4:best.pt:pothole:g17:8
72,2.88,pothole,best.pt,0.3724,4.0,width_fallback,0.0,,0.472,702,357,843,439,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
73,2.92,pothole,best.pt,0.36,4.53,width_fallback,0.0,,0.699,468,385,592,439,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f73_WARNING_pothole.jpg,road_video_3.mp4:best.pt:pothole:g11:9
73,2.92,pothole,best.pt,0.347,4.18,width_fallback,0.0,,0.507,712,369,844,447,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
75,3.0,pothole,best.pt,0.3762,3.93,width_fallback,1.125,3.493,0.603,714,383,860,467,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
76,3.04,pothole,best.pt,0.432,3.76,width_fallback,1.75,2.888,0.618,716,389,867,473,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
77,3.08,pothole,best.pt,0.4685,3.78,width_fallback,1.375,2.826,0.639,727,398,875,483,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
78,3.12,pothole,best.pt,0.5591,3.84,width_fallback,0.964,3.346,0.721,737,404,882,502,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
78,3.12,pothole,best.pt,0.3528,4.97,width_fallback,0.0,,1.0,489,430,604,489,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f78_WARNING_pothole.jpg,road_video_3.mp4:best.pt:pothole:g12:10
79,3.16,pothole,best.pt,0.4896,3.65,width_fallback,1.438,2.983,0.699,738,411,894,506,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
79,3.16,pothole,best.pt,0.4132,4.96,width_fallback,0.0,,1.0,476,437,589,490,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g12:10
79,3.16,pothole,best.pt,0.3836,1.09,width_fallback,0.0,,0.197,0,203,507,576,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f79_CRITICAL_pothole.jpg,road_video_3.mp4:best.pt:pothole:g0:5
80,3.2,pothole,best.pt,0.6431,3.57,width_fallback,1.344,2.836,0.854,737,419,895,529,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
81,3.24,pothole,best.pt,0.47,3.31,width_fallback,2.719,2.108,0.828,729,420,903,530,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
82,3.28,pothole,best.pt,0.5632,3.14,width_fallback,2.821,1.66,0.862,735,437,917,545,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g17:8
83,3.32,pothole,best.pt,0.6529,3.06,width_fallback,2.5,1.464,0.906,742,441,926,562,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f83_CRITICAL_pothole.jpg,road_video_3.mp4:best.pt:pothole:g17:8
84,3.36,pothole,best.pt,0.6807,3.0,width_fallback,2.786,1.29,0.938,741,451,929,570,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,,road_video_3.mp4:best.pt:pothole:g17:8
84,3.36,pothole,best.pt,0.5085,2.03,width_fallback,0.0,,0.0,83,322,351,435,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g1:7
85,3.4,pothole,best.pt,0.5692,2.93,width_fallback,3.25,1.115,0.9,754,465,947,575,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,,road_video_3.mp4:best.pt:pothole:g17:8
85,3.4,pothole,best.pt,0.4338,2.0,width_fallback,0.0,,0.0,74,322,356,454,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g1:7
86,3.44,pothole,best.pt,0.3397,1.98,width_fallback,0.625,3.168,0.0,55,351,338,463,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g1:7
87,3.48,pothole,best.pt,0.302,1.9,width_fallback,1.083,2.532,0.0,41,329,341,448,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g1:7
88,3.52,pothole,best.pt,0.4021,2.0,width_fallback,0.187,6.192,0.0,61,350,336,474,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g1:7
88,3.52,pothole,best.pt,0.3621,0.96,width_fallback,0.0,,0.157,0,251,591,478,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g0:6
89,3.56,pothole,best.pt,0.3429,1.84,width_fallback,0.95,4.277,0.0,28,345,340,467,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g1:7
94,3.76,pothole,best.pt,0.4155,1.11,width_fallback,0.0,,0.094,0,260,486,530,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g0:5
95,3.8,pothole,best.pt,0.4946,1.99,width_fallback,0.0,,0.0,14,383,292,515,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g0:9
96,3.84,pothole,best.pt,0.4226,2.03,width_fallback,0.0,,0.0,2,437,276,532,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g0:9
97,3.88,pothole,best.pt,0.3605,2.1,width_fallback,0.0,,0.0,10,387,274,521,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g0:9
107,4.28,pothole,best.pt,0.3428,1.06,width_fallback,0.0,,0.343,0,328,571,581,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,,road_video_3.mp4:best.pt:pothole:g0:7
115,4.6,pothole,best.pt,0.3088,3.48,width_fallback,0.0,,0.081,834,415,988,504,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g19:9
116,4.64,pothole,best.pt,0.3719,4.73,width_fallback,0.0,,0.0,16,612,129,682,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g0:14
116,4.64,pothole,best.pt,0.3097,3.43,width_fallback,0.0,,0.154,837,420,1001,519,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g19:9
117,4.68,pothole,best.pt,0.3151,3.71,width_fallback,0.0,,0.02,858,429,1005,510,False,SAFE,OBJECT OUTSIDE VEHICLE LANE,prolog,object_outside_vehicle_lane,25,1,safe:object_outside_vehicle_lane:25* | safe:object_at_safe_distance:20,Object is outside the vehicle lane and not an immediate collision threat.,,road_video_3.mp4:best.pt:pothole:g19:9
118,4.72,pothole,best.pt,0.3107,2.91,width_fallback,4.75,0.613,0.347,833,432,1045,561,True,CRITICAL,BRAKE AND AVOID ROAD DAMAGE,prolog,brake_and_avoid_road_damage,95,5,critical:brake_and_avoid_road_damage:95* | critical:brake_now_object_too_close:90 | warning:road_damage_warning:62 | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Immediate maneuver to avoid road damage is required.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f118_CRITICAL_pothole.jpg,road_video_3.mp4:best.pt:pothole:g19:9
120,4.8,pothole,best.pt,0.4274,3.37,width_fallback,0.55,3.094,0.203,884,452,1043,566,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,C:\Users\User\Documents\GitHub\AIproject\output\incidents\road_video_3.mp4\road_video_3.mp4_f120_WARNING_pothole.jpg,road_video_3.mp4:best.pt:pothole:g19:9
122,4.88,pothole,best.pt,0.4799,3.17,width_fallback,1.107,2.99,0.304,898,477,1078,597,True,WARNING,SLOW DOWN AND PREPARE TO AVOID ROAD DAMAGE,prolog,road_damage_warning,62,3,warning:road_damage_warning:62* | warning:generic_warning:55 | caution:caution_object_in_vehicle_lane:40 | safe:object_at_safe_distance:20,Road damage ahead; slow down and prepare to avoid.,,road_video_3.mp4:best.pt:pothole:g19:9
